ID,ABRIR_AM,MEDIDOR_ENCONTRADO,MEDIDOR_INSTALADO,CHAVE_AFERICAO_ENCONTRADA,CHAVE_AFERICAO_INSTALADA,TCS_ENCONTRADO,TCS_INSTALADOS,TROCA_CAIXA,POLO,EQUIPE,DATA_SERVICO,HORARIO_INICIO,HORARIO_FIM,OBSERVACAO,COLABORADORA_BAIXA,DATA_BAIXA,NOTA,AM_REMANEJO,ANEXO,OBS,FAIXA
2000567691,ESPELHO,32020020384,32020020384,SIM,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,27/10/2025,14:45,15:49,MEDIDOR FISCAL COM DEFEITO NO CABO CONTROLE. FOI INSTALADO EASY TRAFO,BRENDA,,,,,,
2000528527,ESPELHO 2012,31110109191,38030046894,SIM,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F005M,09/12/2025,09:13,09:55,,,,,,,,
2000515499,ESPELHO 2312,AUSENTE,38030046967,SIM,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,09/12/2025,10:41,11:30,,,1128779156,,,,,
2000434892,VISITA,S38030021360,,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,09/12/2025,10:34,11:05,COMUNICANDO NORMAL,,,,,,
2000531286,ESPELHO 2312,31110109205,38030047319,SIM,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F005M,09/12/2025,10:39,11:10,,,,,,,,
2000451985,VISITA,38110005900,,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,09/12/2025,11:15,11:52,COMUNICANDO NORMAL,,,,,,
2000591672,AK320,32020024053,38030040837,SIM,NÃO,SIM,NÃO,NÃO,REDENÇÃO,PA-RED-F008M,09/12/2025,10:20,11:54,MEDIDOR SUBSTITUIDO POR EASY TRAFO.,VALERIA,19/12/2025,1128809382,1128809753,,,
2000436950,VISITA,38030041132,,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,09/12/2025,14:30,14:52,EASY TRAFO EM CAMPO COMUNICANDO NORMAL,,,,,,
2000437290,VISITA,S38030021166,,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,09/12/2025,15:00,15:25,EASY TRAFO EM CAMPO COMUNICANDO NORMAL,,,,,,
2000567704,MD INUS,32020020406,INUS38030013864,SIM,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,09/12/2025,11:18,12:24,,,,,,,,
2000436565,IH540,38030000096,38030041183,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,09/12/2025,14:07,15:18,EASY TRAFO COM PONTEIRA CORTADA. FOI SUBSTITUIDO POR OUTRO,VALERIA,19/12/2025,1128810079,1128810609,,,
2000484346,ESPELHO 2312,31110099110,38030036317,SIM,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,09/12/2025,15:30,16:10,,,1128813106,,,,,
2000606659,QZ235,38110005447,38030040829,SIM,NÃO,SIM,NÃO,NÃO,REDENÇÃO,PA-RED-F008M,09/12/2025,15:40,16:37,EASY TRAFO SUBSTITUIDO POR EASY TRAFO,VALERIA,19/12/2025,1128813900,1128815440,,,
2000434838,GP127,34100000867,38030041213,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,09/12/2025,15:41,16:50,MEDIDOR COM TC ATUALIZADO COM EASY TRAFO,VALERIA,19/12/2025,1128816890,1128818067,,,
2000436917,IH538,34100003114,38030041191,SIM,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,09/12/2025,15:58,17:10,MEDIDOR COM TC ATUALIZADO COM EASY TRAFO,VALERIA,19/12/2025,1128818108,1128818471,,,
2000483962,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,09/12/2025,,,,,,,,,,
2000566239,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,09/12/2025,,,,,,,,,,
2000569566,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,09/12/2025,,,,,,,,,,
2000566455,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,09/12/2025,,,,,,,,,,
2000443530,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,10/12/2025,,,,,,,,,,
2000443771,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,10/12/2025,,,,,,,,,,
2000434688,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,10/12/2025,,,,,,,,,,
2000463195,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,10/12/2025,,,,,,,,,,
2000610223,,,,,NÃO,SIM,NÃO,NÃO,REDENÇÃO,PA-RED-F008M,10/12/2025,,,,,,,,,,
2000481310,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,10/12/2025,,,,,,,,,,
2000463201,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,10/12/2025,,,,,,,,,,
