54332020097905,ABRIR AM ,MEDIDOR - ENCONTRADO,MEDIDOR - INSTALADO,CHAVE DE AFERIÇÃO ENCONTRADA,CHAVE DE AFERIÇÃO INSTALADA,TC´S ENCONTRADO,TC´S INSTALADOS,TROCA DA CAIXA ,POLO,EQUIPE,DATA DO SERVIÇO,HORÁRIO INÍCIO,HORÁRIO FIM,OBSERVAÇÃO,COLABORADORA (BAIXA),DATA DA BAIXA,NOTA,AM/REMANEJO,ANEXO,OBS,FAIXA
2000443687,276,AUSENTE,32110019342,S/CHAVE,S/N°,SIM,NÃO,NÃO,MARABÁ,MAB 707,28/08/2022,16:01,16:21,EM CAMPO MEDIDOR ENCONTRADO NÃO CADASTRADO NA INSTALAÇÃO,ANDRIELY,09/11/2022,,,SIM,,
2000442991,659,31110093546,SEM TROCA,S/CHAVE,S/N°,SIM,NÃO,SIM,MARABÁ,MAB 707,08/09/2022,16:59,18:10,EM CAMPO FOI FEITO A TROCA DA CAIXA POIS A MESMA ESTAVA DANIFICADA,RAQUEL,23/09/2022,,,,,
2000438940,BY136,31110092884,34050000453,S/CHAVE,55090811844,SIM,NÃO,NÃO,MARABÁ,MAB 707,09/09/2022,15:10,16:39,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,25/11/2022,,,,,
2000443284,BY 473,31110093503,34050000488,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB 707,09/09/2022,10:21,12:10,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,23/09/2022,,,,,
2000492408,CD751,31110073090,34050001530,S/CHAVE,55090811840,SIM,NÃO,NÃO,MARABÁ,MAB 707,09/09/2022,16:51,17:52,"TAMPA EMBAÇADA, EQUIPE TROCOU O MEDIDOR E FOI INSTALADO UMA CHAVE DE AFERIÇÃO, O MESMO FICOU NORMALIZADO",ANDRIELY,09/11/2022,,,,,
2000449784,GX567,31110092949,34050000445,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB 707,12/09/2022,14:59,15:51,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,DANIELLY,26/09/2022,,,,,
2000449867,HG 488,31110089492,34050001930,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB 707,14/09/2022,14:20,15:09,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,26/09/2022,,,,,
2000452024,HF 847,AUSENTE,34050000470,S/CHAVE,55090811843,SIM,NÃO,SIM,MARABÁ,MAB 707,14/09/2022,10:20,11:21,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000431627,IH552,31110084393,34050000461,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB 707,15/09/2022,14:31,15:21,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,26/09/2022,,,,,
2000435590,CC-995,31110083818,34050001980,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB 707,15/09/2022,16:59,17:31,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,RAQUEL,28/09/2022,,,,,
2000439722,HH 587,AUSENTE,34050000437,S/CHAVE,55090811839,SIM,NÃO,SIM,MARABÁ,MAB 707,15/09/2022,09:31,10:41,"MEDIDOR ENCONTRADO QUEIMADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000433167,BR - 277,31110091802,34050001948,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB 707,17/09/2022,14:21,15:29,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,RAQUEL,28/09/2022,,,,,
2000435715,BT 272,31110087414,34050001972,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,17/09/2022,10:21,12:01,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,DANIELLY,26/09/2022,,,,,
2000430328,11626,31110088593,34050001964,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,19/09/2022,10:21,11:51,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,26/09/2022,,,,,
2000431200,CD652,31110083370,34050001956,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB707,19/09/2022,14:10,15:21,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO E CAIXA QUEBRADA. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,26/09/2022,,,,,
2000430555,S/PLACA,31110084490,34050001719,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,20/09/2022,15:10,16:21,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,28/09/2022,,,,,
2000463213,BT273,31110105560,34050001700,S/CHAVE,55090811842,SIM,NÃO,NÃO,MARABÁ,MAB707,20/09/2022,16:29,17:21,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000432347,HG457,AUSENTE,34050001697,S/CHAVE,55090811846,SIM,NÃO,SIM,MARABÁ,MAB707,21/09/2022,15:21,17:10,"EM CAMPO MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000432981,BT274,31110090261,34050001735,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,21/09/2022,14:21,15:10,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,13/10/2022,,,,,
2000430972,BT224,31110084504,34050001743,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,22/09/2022,16:26,17:09,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
2000441277,GY242,31110091020,34050001727,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,23/09/2022,14:39,15:02,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
